date,north,middle,south,total,redzone
20190630,0.03629062500000009,0.1024,0.02483124999999997,0.16352187500000012,0.04361562499999996
20190701,0.03370937500000009,0.081040625,0.019862499999999974,0.1346125000000001,0.03354999999999996
20190702,0.03097187500000009,0.0572625,0.015662499999999975,0.10389687500000011,0.02270624999999996
20190703,0.02874062500000009,0.04005,0.012337499999999972,0.0811281250000001,0.016674999999999957
20190704,0.02797187500000009,0.0352875,0.009587499999999971,0.07284687500000012,0.014590624999999958
20190705,0.029221875000000088,0.0398,0.007574999999999972,0.07659687500000012,0.013478124999999959
20190706,0.032543750000000086,0.047696875,0.006343749999999973,0.08658437500000012,0.01639374999999996
20190707,0.03726562500000009,0.058625,0.0060781249999999724,0.10196875000000011,0.025606249999999962
20190708,0.04215625000000009,0.073575,0.007228124999999972,0.12295937500000012,0.03486874999999996
20190709,0.04650000000000008,0.08931249999999999,0.009484374999999972,0.1452968750000001,0.03853437499999996
20190710,0.05030937500000009,0.102434375,0.012084374999999972,0.1648281250000001,0.04023749999999996
20190711,0.053046875000000084,0.113878125,0.015284374999999972,0.1822093750000001,0.04555937499999996
20190712,0.05364062500000008,0.1264,0.020090624999999973,0.2001312500000001,0.05451874999999996
20190712,0.05244375000000008,0.14017187500000003,0.02615937499999997,0.21877500000000008,0.06385624999999996
20190713,0.051143750000000085,0.151578125,0.03131562499999997,0.23403750000000006,0.07030624999999996
20190714,0.050525000000000084,0.157459375,0.03460624999999998,0.2425906250000001,0.07224999999999997
20190715,0.05021875000000008,0.15799062500000002,0.037974999999999974,0.2461843750000001,0.07024999999999998
20190716,0.04985937500000009,0.15317500000000003,0.04274062499999998,0.24577500000000008,0.06581249999999997
20190717,0.049056250000000086,0.14467812500000005,0.04705624999999997,0.2407906250000001,0.05988749999999997
20190718,0.04710312500000008,0.13925000000000004,0.048365624999999975,0.2347187500000001,0.05359062499999996
20190719,0.04360000000000008,0.13978125000000002,0.046418749999999974,0.2298000000000001,0.050393749999999966
20190720,0.03915000000000009,0.13966875,0.043378124999999976,0.2221968750000001,0.05160624999999998
20190721,0.03498437500000008,0.1335125,0.041174999999999976,0.2096718750000001,0.05178749999999997
20190722,0.031728125000000086,0.12445,0.03957187499999997,0.1957500000000001,0.047974999999999976
20190723,0.029196875000000084,0.11799062500000002,0.037221874999999974,0.1844093750000001,0.04588749999999998
20190724,0.027659375000000083,0.11515000000000002,0.03306874999999997,0.17587812500000005,0.048668749999999976
20190725,0.027831250000000085,0.11119375000000002,0.027199999999999974,0.16622500000000007,0.05033749999999997
20190726,0.029525000000000086,0.10258125000000001,0.021609374999999972,0.15371562500000008,0.045284374999999974
20190727,0.03188125000000009,0.09306250000000002,0.018546874999999973,0.1434906250000001,0.03520937499999997
20190728,0.034268750000000084,0.08474062500000001,0.01772499999999997,0.13673437500000007,0.02628124999999997
20190729,0.03625312500000008,0.07465312500000001,0.017003124999999973,0.12790937500000008,0.023593749999999976
20190730,0.03777500000000008,0.06630937500000002,0.01522812499999997,0.11931250000000007,0.025268749999999975
20190731,0.03938437500000008,0.06670625000000002,0.012756249999999972,0.11884687500000009,0.024462499999999977
20190801,0.04172187500000008,0.07330937500000002,0.010271874999999972,0.1253031250000001,0.021593749999999974
20190802,0.04467812500000008,0.07797500000000002,0.008378124999999972,0.1310312500000001,0.025174999999999975
